buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,0,0
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1637 W 18th St'],Chicago,IL,60608,49,0,0
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,0,0
ub-dogs-chicago,UB Dogs,https://www.yelp.com/biz/ub-dogs-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['185 N Franklin St'],Chicago,IL,60606,339,0,0
art-institute-of-chicago-chicago-3,Art Institute of Chicago,https://www.yelp.com/biz/art-institute-of-chicago-chicago-3?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['111 S Michigan Ave'],Chicago,IL,60603,1300,1,1
ninis-deli-chicago,Nini's Deli,https://www.yelp.com/biz/ninis-deli-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['543 N Noble St'],Chicago,IL,60642,381,1,1
chicago-pizza-tours-chicago,Chicago Pizza Tours,https://www.yelp.com/biz/chicago-pizza-tours-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,[],Chicago,IL,60603,155,1,1
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['201 E Randolph St'],Chicago,IL,60602,991,1,1
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1315 W 18th St'],Chicago,IL,60608,265,1,1
the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,1,1
