business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
country-house-lisle,Country House,https://www.yelp.com/biz/country-house-lisle,3.0,"[Category(name='American (Traditional)', alias='tradamerican')]",['2799 Maple Ave'],US,Lisle,IL,60532,117,True,"I'm a simple man... a burger and a beer make me happy, so it's a no-brainer that I'd be found at Country House.  This is a more ""general"" review of all the...",319
tuscan-tavern-oswego-2,Tuscan Tavern,https://www.yelp.com/biz/tuscan-tavern-oswego-2,4.5,"[Category(name='Italian', alias='italian')]",['4571 State Rt 71'],US,Oswego,IL,60543,55,True,9/25/2016 update:  We had another EXCELLENT dinner at the Tuscan Tavern in Oswego!  The food is really delicious.  The wait for a table was quite reasonable...,322
rock-bottom-restaurant-and-brewery-warrenville,Rock Bottom Restaurant & Brewery,https://www.yelp.com/biz/rock-bottom-restaurant-and-brewery-warrenville,3.0,"[Category(name='American (Traditional)', alias='tradamerican')]",['28256 Diehl Rd'],US,Warrenville,IL,60555,180,True,"Great management, clean restaurant and fast and friendly service.  Had issues with my loyalty card but manager took care of it right away. Also their key...",323
rbk-american-grill-downers-grove,RBK American Grill,https://www.yelp.com/biz/rbk-american-grill-downers-grove,3.5,"[Category(name='American (New)', alias='newamerican')]",['994 Warren Ave'],US,Downers Grove,IL,60515,50,True,We came here to celebrate our anniversary and it was a delicious experience. RBK is a sleek and cozy spot right in the heart of Downers Grove. They feature...,324
honeybaked-ham-naperville,HoneyBaked Ham,https://www.yelp.com/biz/honeybaked-ham-naperville,3.5,"[Category(name='Meat Shops', alias='meats'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Delis', alias='delis')]",['1512 North Naper Boulevard'],US,Naperville,IL,60563,10,True,Of course you can be like everyone else and get your Honeybaked ham for Easter or Christmas...but I have discovered the joys of their year-round lunch...,325
saag-hut-aurora,Saag Hut,https://www.yelp.com/biz/saag-hut-aurora,3.5,"[Category(name='Indian', alias='indpak'), Category(name='Pakistani', alias='pakistani')]",['646 S Frontenac St'],US,Aurora,IL,60504,43,True,"Good service, great food! Came late at night and the food was still fresh, which hardly ever happens.  I'm definitely coming back!",325
rosatis-pizza-naperville,Rosati's Pizza,https://www.yelp.com/biz/rosatis-pizza-naperville,3.5,"[Category(name='Pizza', alias='pizza')]",['1935 95th St'],US,Naperville,IL,60564,14,True,"We've ordered practically everything but the pizza.
All their sandwiches and combos are really good. I don't like that you have to order the fries...",328
verdict-restaurant-wheaton,Verdict Restaurant,https://www.yelp.com/biz/verdict-restaurant-wheaton,4.0,"[Category(name='Greek', alias='greek'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['600 S County Farm Rd'],US,Wheaton,IL,60187,96,True,"The rewards for being a good son is breakfast. 

After my mother's follow up visit to the eye doctor this weekend, she decided to treat her favorite son to...",329
prenos-bolingbrook,Prenos,https://www.yelp.com/biz/prenos-bolingbrook,4.0,"[Category(name='Greek', alias='greek'), Category(name='Fast Food', alias='hotdogs')]",['311 Veterans Pkwy'],US,Bolingbrook,IL,60490,40,False,I must say I have always enjoyed my dine in experiences at Prenos. Staff is always welcoming and patient since at times I don't know usually what I want to...,329
old-town-restaurant-lemont,Old Town Restaurant,https://www.yelp.com/biz/old-town-restaurant-lemont,4.5,"[Category(name='Polish', alias='polish'), Category(name='German', alias='german')]",['113 Stephen St'],US,Lemont,IL,60439,68,False,"As good as it gets for Authentic German, Polish and Lithuanian cuisine.

Everyone in my family loves the food including my 10 yr old. The decor reminds me...",329
adelles-fine-american-fare-wheaton,Adelle's Fine American Fare,https://www.yelp.com/biz/adelles-fine-american-fare-wheaton,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='American (New)', alias='newamerican'), Category(name='Lounges', alias='lounges')]",['535 W Liberty Dr'],US,Wheaton,IL,60187,156,True,"Wow. Just wow.

My in-laws took my husband and I there to celebrate my husband's birthday. My in-laws had dined here before, many times, but my husband and...",329
chinns-34th-st-fishery-lisle,Chinn's 34th St Fishery,https://www.yelp.com/biz/chinns-34th-st-fishery-lisle,3.0,"[Category(name='Seafood', alias='seafood')]",['3011 Ogden Ave'],US,Lisle,IL,60532,248,True,Great little seafood spot in an industrial area! Service was very good and water was consistently kept full. You definitely would not expect to find a very...,330
little-creperie-clarendon-hills,Little Creperie,https://www.yelp.com/biz/little-creperie-clarendon-hills,4.5,"[Category(name='Cafes', alias='cafes'), Category(name='Creperies', alias='creperies')]",['102 S Prospect Ave'],US,Clarendon Hills,IL,60514,51,True,"Prob the best crepes I've had in the Chicagoland area. Reminded me of the amazing crepes you get in Cali. Nice, modern decor. Great service. 

We made our...",331
old-vilnius-café-darien-2,Old Vilnius Café,https://www.yelp.com/biz/old-vilnius-caf%C3%A9-darien-2,4.0,"[Category(name='Modern European', alias='modern_european'), Category(name='Russian', alias='russian'), Category(name='Delis', alias='delis')]","['2601 75th St', 'Ste B']",US,Darien,IL,60561,59,True,"Being adventurous one evening, we decided to give Old Vilnius Café a try. They serve traditional Lithuanian cuisine. Now, I know no nothing about Lithuanian...",332
steve-bureshs-cheesecake-store-plainfield,Steve Buresh's Cheesecake Store,https://www.yelp.com/biz/steve-bureshs-cheesecake-store-plainfield,4.5,"[Category(name='Desserts', alias='desserts'), Category(name='Cafes', alias='cafes'), Category(name='Sandwiches', alias='sandwiches')]","['14210 Rt 30', 'Unit 100']",US,Plainfield,IL,60544,97,True,FINALLY made it in and I am so glad I did!! My friend has been raving to me about this place so when my daughter and I were in the area we stopped in for...,333
u-samba-cafe-aurora-6,U Samba? Cafe,https://www.yelp.com/biz/u-samba-cafe-aurora-6,4.5,"[Category(name='Brazilian', alias='brazilian')]",['37 W New York St'],US,Aurora,IL,60506,53,True,"First off I came with a group of 7 around 4 & it was dead! Which was awesome because we had the waiters full attention! Customer service, checked!

Half of...",336
chucks-southern-comforts-cafe-darien-2,Chuck's Southern Comforts Cafe,https://www.yelp.com/biz/chucks-southern-comforts-cafe-darien-2,3.5,"[Category(name='Mexican', alias='mexican'), Category(name='Barbeque', alias='bbq'), Category(name='Southern', alias='southern')]",['8025 S Cass Ave'],US,Darien,IL,60561,277,True,"I love Chuck's! It's close to my work, so whenever we're looking for a lunch spot, Chuck's usually wins out. I've tried a couple of different items but...",337
mi-casa-restaurant-wheaton,Mi Casa Restaurant,https://www.yelp.com/biz/mi-casa-restaurant-wheaton,4.0,"[Category(name='Mexican', alias='mexican')]",['1720 N Main St'],US,Wheaton,IL,60187,139,True,"This wonderful little family-owned restaurant serves some of the best Mexican food in the area.  The food is consistently delicious, portion sizes are...",339
pockets-aurora-7,Pockets,https://www.yelp.com/biz/pockets-aurora-7,4.5,"[Category(name='Food Delivery Services', alias='fooddeliveryservices'), Category(name='Pizza', alias='pizza'), Category(name='Salad', alias='salad')]",['2933 N Kirk Rd'],US,Aurora,IL,60502,31,True,"I love Pockets!!  I used to eat at these all the time when I lived in downtown Chicago.  Staff is always friendly and the food is extremely fresh.

My only...",340
chiba-japanese-darien,Chiba Japanese,https://www.yelp.com/biz/chiba-japanese-darien,4.5,"[Category(name='Japanese', alias='japanese')]","['801 Plainfield Rd', 'Unit 15']",US,Darien,IL,60561,157,False,"Funny, off-beat little hole in the wall restaurants always seem to go one of two ways: fantastic or forgettable. Chiba takes fantastic to a completely...",341
katys-dumpling-house-westmont,Katy's Dumpling House,https://www.yelp.com/biz/katys-dumpling-house-westmont,4.0,"[Category(name='Chinese', alias='chinese'), Category(name='Taiwanese', alias='taiwanese')]",['665 N Cass Ave'],US,Westmont,IL,60559,342,False,"Xiao long bao here is amazing. Filled with soup and so juicy! 

Their frozen dumplings are so good and at a very reasonable price. 

The place is small but...",341
gordon-biersch-brewery-restaurant-bolingbrook-2,Gordon Biersch Brewery Restaurant,https://www.yelp.com/biz/gordon-biersch-brewery-restaurant-bolingbrook-2,3.0,"[Category(name='Breweries', alias='breweries'), Category(name='American (New)', alias='newamerican')]","['639 E Boughton Rd', 'Ste 100']",US,Bolingbrook,IL,60490,295,True,"I ate here once for a birthday dinner with a group about 8.
Food was good and the service was quick and friendly. 
Prices are above average for this type of...",341
chama-gaúcha-brazilian-steakhouse-downers-grove-2,Chama Gaúcha Brazilian Steakhouse,https://www.yelp.com/biz/chama-ga%C3%BAcha-brazilian-steakhouse-downers-grove-2,4.5,"[Category(name='Steakhouses', alias='steak'), Category(name='Brazilian', alias='brazilian')]",['3008 Finley Rd'],US,Downers Grove,IL,60515,740,True,"Exceptional food, exceptional service. If you are a meatatarian you will absolutely love this place. I didn't even bother with the salad bar - I went right...",342
mcwethys-tavern-romeoville,McWethy's Tavern,https://www.yelp.com/biz/mcwethys-tavern-romeoville,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Seafood', alias='seafood'), Category(name='Sandwiches', alias='sandwiches')]",['1700 W Renwick Dr'],US,Romeoville,IL,60446,62,True,"I've been two times now and thought it was time to write a review. 

The first time we went, we had a reservation for a party of 11 for a birthday. When we...",344
sushi-n-noodle-by-oisi-plainfield,Sushi N Noodle by OISI,https://www.yelp.com/biz/sushi-n-noodle-by-oisi-plainfield,4.5,"[Category(name='Sushi Bars', alias='sushi'), Category(name='Noodles', alias='noodles')]",['12736 S Rt 59'],US,Plainfield,IL,60585,142,True,"RAMEN IN THE WEST SUBURBS!!!!!!! *ahem* I have to scream this, because there are not any places (at least that I know of) within 20 miles that has decent...",344
