business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
the-panini-republic-chicago,The Panini Republic,https://www.yelp.com/biz/the-panini-republic-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Salad', alias='salad'), Category(name='Soup', alias='soup')]",['500 W Diversey Pkwy'],US,Chicago,IL,60614,199,True,"So glad I found this place . Ordered lunch today with my coworkers , had it delivered 
Sandwiches arrived hot and our large order was correct 
I had the...",0
the-fat-shallot-chicago,The Fat Shallot,https://www.yelp.com/biz/the-fat-shallot-chicago,4.5,"[Category(name='Food Trucks', alias='foodtrucks'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sandwiches', alias='sandwiches')]",['125 S Clark St'],US,Chicago,IL,60603,107,True,"Visited the Fat Shallot at the new Revival Food Hall. The truffle BLT is fantastic!! Delicious crisp high quality bacon, avocado, just the right amount of...",0
aje-cafe-chicago-4,Aje Cafe,https://www.yelp.com/biz/aje-cafe-chicago-4,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['2942 N Clark St'],US,Chicago,IL,60657,228,True,"Great Food, Great Coffee would recommend 
Came here from florida and it did not disappoint. 
Try it out before a Cubs game. Go Cubs",0
vinnies-sub-shop-chicago,Vinnie's Sub Shop,https://www.yelp.com/biz/vinnies-sub-shop-chicago,4.5,"[Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Salad', alias='salad')]",['1204 W Grand Ave'],US,Chicago,IL,60642,158,True,"Love Vinnies, wish they were open later and on Sunday's though... 

Really friendly staff, speedy and accurate sandwich makers, they always get the orders...",0
the-corned-beef-factory-sandwich-shop-chicago,The Corned Beef Factory Sandwich Shop,https://www.yelp.com/biz/the-corned-beef-factory-sandwich-shop-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches')]",['1009 W Lake St'],US,Chicago,IL,60607,168,True,"I stopped into The Corned Beef Factory Sandwich Shop after stumbling across it randomly on Yelp... oh man am I glad I did!

While this spot isn't very big,...",0
doc-bs-fresh-kitchen-river-north-chicago-4,Doc B's Fresh Kitchen - River North,https://www.yelp.com/biz/doc-bs-fresh-kitchen-river-north-chicago-4,4.5,"[Category(name='Burgers', alias='burgers'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Bars', alias='bars')]",['55 E Grand Ave'],US,Chicago,IL,60611,348,True,"I can't rave enough about Doc B's. My favorite place for healthy but filling dishes. The staff is always friendly and helpful, and I really appreciate that...",0
perrys-chicago,Perry's,https://www.yelp.com/biz/perrys-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Delis', alias='delis'), Category(name='Soup', alias='soup')]",['162 N Franklin St'],US,Chicago,IL,60606,454,True,"Please go right ahead use your cell phone while in line. Hahaha. Please come hungry and stretch your jaw out before you walk into this place.

These...",0
la-fournette-chicago,La Fournette,https://www.yelp.com/biz/la-fournette-chicago,4.5,"[Category(name='Bakeries', alias='bakeries'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Macarons', alias='macarons')]",['1547 N Wells St'],US,Chicago,IL,60610,346,True,"Friendly staff from Alsace. Amazing soups and pastries. Wish I had something like this in my neighborhood. 

Would enthusiastically return.",1
l-appetito-chicago-2,L'Appetito,https://www.yelp.com/biz/l-appetito-chicago-2,4.0,"[Category(name='Italian', alias='italian'), Category(name='Meat Shops', alias='meats'), Category(name='Sandwiches', alias='sandwiches')]",['30 E Huron St'],US,Chicago,IL,60611,175,False,"Delicious italian sandwich, reasonably priced, in the heart of the Mag Mile area.  Similar concept to Bari, as in, grocery store / deli counter in back....",3
the-sandwich-break-chicago,The Sandwich Break,https://www.yelp.com/biz/the-sandwich-break-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Latin American', alias='latin')]",['3259 W 63rd St'],US,Chicago,IL,60629,30,False,"Defiantly a hidden gem, the food is delicious and finally a puerta rican restaurant in the south.",4
fumare-meats-and-deli-chicago,Fumare Meats & Deli,https://www.yelp.com/biz/fumare-meats-and-deli-chicago,4.5,"[Category(name='Delis', alias='delis'), Category(name='Meat Shops', alias='meats'), Category(name='Sandwiches', alias='sandwiches')]",['131 N Clinton St'],US,Chicago,IL,60661,137,True,"Last January, I traveled to Montreal, and became acquainted with the phenomenon known as ""Montreal Style Smoked Meat"". I had to leave it behind when I came...",4
mannys-cafeteria-and-delicatessen-chicago-3,Mannys Cafeteria and Delicatessen,https://www.yelp.com/biz/mannys-cafeteria-and-delicatessen-chicago-3,4.0,"[Category(name='Delis', alias='delis'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Sandwiches', alias='sandwiches')]",['1141 S Jefferson St'],US,Chicago,IL,60607,690,True,"have you ever wondered what it felt like to eat in a jewish cafeteria in the 1940s?

go to mannys.

have you ever seen 5 lbs of meat on rye?

go to...",5
blue-door-farm-stand-chicago-2,Blue Door Farm Stand,https://www.yelp.com/biz/blue-door-farm-stand-chicago-2,4.0,"[Category(name='Salad', alias='salad'), Category(name='Juice Bars & Smoothies', alias='juicebars'), Category(name='Sandwiches', alias='sandwiches')]",['2010 N Halsted St'],US,Chicago,IL,60614,165,True,"I love this place. The staff is sooo friendly, Alex helped me out and he was amazing. They made accommodations with my order without any issues. The BK...",6
d-amatos-bakery-chicago,D'amato's Bakery,https://www.yelp.com/biz/d-amatos-bakery-chicago,4.5,"[Category(name='Bakeries', alias='bakeries'), Category(name='Sandwiches', alias='sandwiches')]",['1124 W Grand Ave'],US,Chicago,IL,60622,271,True,"Stopped in here on my way out of Chicago, sniff...It's been a long search for a great bakery in Chicago, after one of my favorites had gone downhill....",7
brankos-sandwich-shop-chicago,Branko's Sandwich Shop,https://www.yelp.com/biz/brankos-sandwich-shop-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Bakeries', alias='bakeries'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['1118 W Fullerton Ave'],US,Chicago,IL,60614,127,True,"I cannot say enough good things about this place. The service is incredible, due to the wonderful staff. It is family owned and operated and they are...",8
fiore-delicatessen-chicago,Fiore Delicatessen,https://www.yelp.com/biz/fiore-delicatessen-chicago,4.5,"[Category(name='Grocery', alias='grocery'), Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",['2258 W Erie St'],US,Chicago,IL,60612,123,True,"Not only a Chicago 5... I give it a New York 5! Something about a real Italian making your Italian food can't be beat. Meatballs were delicious, beef combo...",9
lil-guys-chicago,Li'l Guys,https://www.yelp.com/biz/lil-guys-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches')]",['2010 N Damen Ave'],US,Chicago,IL,60647,103,True,"cute sandwich spot, WITH parking in front but also has quick delivery.  The sandwiches are great deli, cold cuts or hot.  They also have a pizza bar however...",11
ipsento-chicago,Ipsento,https://www.yelp.com/biz/ipsento-chicago,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]",['2035 N Western Ave'],US,Chicago,IL,60647,744,True,"Two Words - Nutella Latte. I don't even feel like I need to go on with a review . . .  those two words should suffice. :) 

Friendly staff, awesome...",11
nohea-cafe-chicago,Nohea Cafe,https://www.yelp.com/biz/nohea-cafe-chicago,4.0,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Cafes', alias='cafes')]","['1312 W Madison St', '1w']",US,Chicago,IL,60607,190,True,Moved across the street and keep going back to this place all the time. The Italian stallion lunch sandwich is amazing and the breakfast sandwiches are...,13
wyler-road-chicago,Wyler Road,https://www.yelp.com/biz/wyler-road-chicago,4.0,"[Category(name='Bars', alias='bars'), Category(name='Sandwiches', alias='sandwiches')]",['3581 W Belden Ave'],US,Chicago,IL,60647,114,True,"I felt like I was dragging my lifeless body through the desert since I was not accustomed to the Chicago heat, much less walking several blocks through it....",13
cup-and-spoon-chicago,Cup & Spoon,https://www.yelp.com/biz/cup-and-spoon-chicago,4.5,"[Category(name='Cafes', alias='cafes'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]",['2415 W North Ave'],US,Chicago,IL,60647,104,True,"Cue in: ""Where everybody knows your name!"" 
It only takes one time to become a regular customer at Cup & Spoon. Strike up a conversation with Rosie and she...",14
patinos-grill-chicago,Patino's Grill,https://www.yelp.com/biz/patinos-grill-chicago,5.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Burgers', alias='burgers'), Category(name='Sandwiches', alias='sandwiches')]",['2943 W Irving Park Rd'],US,Chicago,IL,60618,82,True,"I came here for lunch with my dad after reading a few reviews, since my dad and I love burgers.  Patino's grill has a very diverse selection of gourmet...",15
wicker-basket-cafe-chicago,Wicker Basket Cafe,https://www.yelp.com/biz/wicker-basket-cafe-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Cafes', alias='cafes')]",['2113 W Division St'],US,Chicago,IL,60622,108,True,"Came here for a quick bite, but didn't know that they closed at 2:30 on a Tuesday. was greeted by the owner and he told me the history behind opening the...",16
iguana-café-chicago-2,Iguana Café,https://www.yelp.com/biz/iguana-caf%C3%A9-chicago-2,4.0,"[Category(name='Creperies', alias='creperies'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['517 N Halsted St'],US,Chicago,IL,60642,599,True,"The Good
This is one of our favorite post-dinner spots for my husband and I.  Open late-night which is nice when you are looking for a place to go after...",16
slims-chicago,Slim's,https://www.yelp.com/biz/slims-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Hot Dogs', alias='hotdog'), Category(name='American (Traditional)', alias='tradamerican')]",['2020 W Montrose Ave'],US,Chicago,IL,60618,206,True,"The night I moved to Chicago, I ordered Slims. It was my first Chicago food delivery experience. I ordered two hotdogs and fries and I wasn't disappointed....",18
zenwich-chicago,Zenwich,https://www.yelp.com/biz/zenwich-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Asian Fusion', alias='asianfusion'), Category(name='American (New)', alias='newamerican')]",['206 W Van Buren St'],US,Chicago,IL,60607,68,True,"YUM. Just went to Zenwich for lunch, it was delicious! Their menu options go far beyond any regular sandwich place and I love the mix of asian fusion and...",19
hannahs-bretzel-chicago,Hannah's Bretzel,https://www.yelp.com/biz/hannahs-bretzel-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Desserts', alias='desserts'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]","['233 N Michigan Ave', 'Illinois Center']",US,Chicago,IL,60601,209,True,"It's like a fancy, organic version of Panera. Really good, a little pricey, but amazing quick serve food.

Excellent for those who need gluten-free options.",19
cafe-jumping-bean-chicago,Cafe Jumping Bean,https://www.yelp.com/biz/cafe-jumping-bean-chicago,4.5,"[Category(name='Cafes', alias='cafes'), Category(name='Sandwiches', alias='sandwiches')]",['1439 W 18th St'],US,Chicago,IL,60608,255,True,"This place is awesome. Amazing coffee, fantastic sandwiches, unbeatable prices. The staff is super friendly. The decor is really interesting (hand painted...",20
avanti-caffé-chicago-2,Avanti Caffé,https://www.yelp.com/biz/avanti-caff%C3%A9-chicago-2,4.0,"[Category(name='Italian', alias='italian'), Category(name='Sandwiches', alias='sandwiches')]",['200 W Jackson Blvd'],US,Chicago,IL,60606,130,True,Amazing place to eat!  They have the best food and an even better staff - if that's possible!!!  Phil is one of the managers there and he is awesome!  He...,21
jubranos-chicago,Jubrano's,https://www.yelp.com/biz/jubranos-chicago,4.0,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Mediterranean', alias='mediterranean')]",['1519 W Taylor St'],US,Chicago,IL,60607,106,True,Always a must on every visit to Chicago. I've been stopping by here for many years and the food never disappoints. My favorites are the buffalo chicken...,23
fontanos-subs-chicago-3,Fontano's Subs,https://www.yelp.com/biz/fontanos-subs-chicago-3,3.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Pizza', alias='pizza')]",['332 S Michigan Ave'],US,Chicago,IL,60604,92,True,"Why does this one have 3 stars and the one in University Village has almost 5 stars is astounding to me... 

For a faster food type of place, I'm giving...",24
soluri-and-sons-italian-deli-chicago,Soluri & Sons Italian Deli,https://www.yelp.com/biz/soluri-and-sons-italian-deli-chicago,4.0,"[Category(name='Delis', alias='delis'), Category(name='Italian', alias='italian'), Category(name='Sandwiches', alias='sandwiches')]",['3549 S Halsted St'],US,Chicago,IL,60609,38,True,I've had both the turkey and ham sandwich. The bread is amazing. I love to pick up this sandwich on my way to the beach!,24
flo-and-santos-chicago-3,Flo & Santos,https://www.yelp.com/biz/flo-and-santos-chicago-3,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='Pizza', alias='pizza'), Category(name='Sandwiches', alias='sandwiches')]",['1310 S Wabash Ave'],US,Chicago,IL,60605,665,False,"I often forget about this little south loop gem. The hubs and I ordered from here last night out of a fit of laziness. Much to our happiness, our food came...",26
morgan-street-cafe-chicago,Morgan Street Cafe,https://www.yelp.com/biz/morgan-street-cafe-chicago,4.0,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]",['111 S Morgan St'],US,Chicago,IL,60607,157,True,"This is a wonderful hipster-y cafe in West Loop that serves simple but terrific sandwiches (both lunch and breakfast sandwiches), as well as bakery items...",26
hero-coffee-bar-chicago,HERO Coffee Bar,https://www.yelp.com/biz/hero-coffee-bar-chicago,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Salad', alias='salad')]",['439 S Dearborn St'],US,Chicago,IL,60605,220,True,"I came here around 3 pm on Saturday and was super pleasantly surprised by how nice the service was. I'm not a pro at ordering in new coffee shops, so the...",27
eddies-sandwiches-chicago,Eddies Sandwiches,https://www.yelp.com/biz/eddies-sandwiches-chicago,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]",['2721 W Division St'],US,Chicago,IL,60622,12,True,Great sandwiches and a great atmosphere to hang out and grap a quick bite to eat. I've have gone here many times and I will continue to keep going. That 1...,28
pastoral-chicago,Pastoral,https://www.yelp.com/biz/pastoral-chicago,4.5,"[Category(name='Cheese Shops', alias='cheese'), Category(name='Grocery', alias='grocery'), Category(name='Sandwiches', alias='sandwiches')]",['2945 N Broadway'],US,Chicago,IL,60657,257,True,"My girlfriend is not super materialistic but is a serious cheese lover, so I knew a selection of high end cheese would be the perfect birthday gift for her....",29
blue-street-market-chicago,Blue Street Market,https://www.yelp.com/biz/blue-street-market-chicago,4.5,"[Category(name='Food Trucks', alias='foodtrucks'), Category(name='Sandwiches', alias='sandwiches')]",[],US,Chicago,IL,60603,16,True,Glad I stopped at this fine truck in the AM walking through the loop. It's hard to find a nice basic breakfast sandwich in the city. I always find breakfast...,30
cafe-el-meson-chicago,Cafe El Meson,https://www.yelp.com/biz/cafe-el-meson-chicago,4.5,"[Category(name='Sandwiches', alias='sandwiches'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Juice Bars & Smoothies', alias='juicebars')]",['4631 S Kedzie Ave'],US,Chicago,IL,60632,63,True,"Friendly owner, great food and drink. Perfect for a break.",30
