business_id,business_name,business_url,business_rating,business_categories,business_locationaddress,business_country,business_city,business_statecode,business_zipcode,business_reviewcount,is_claimed,snippet_text,offset
fat-rickys-romeoville,Fat Ricky's,https://www.yelp.com/biz/fat-rickys-romeoville,3.0,"[Category(name='Italian', alias='italian'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Pizza', alias='pizza')]",['660 N Independence Blvd'],US,Romeoville,IL,60446,62,True,I'm from the south side of Chicago. My favorite pizza place is an hour away so of course being new to romeoville the first thing I had to do was find a...,434
mr-broast-aurora,Mr. Broast,https://www.yelp.com/biz/mr-broast-aurora,3.5,"[Category(name='Chicken Wings', alias='chicken_wings'), Category(name='Fast Food', alias='hotdogs'), Category(name='Burgers', alias='burgers')]",['2202 Ogden Ave'],US,Aurora,IL,60504,66,True,"So the other day I was REALLY craving biscuits. Weird, I know, but I just could not go on with my day until I ate some southern biscuits. Nothing came to...",435
café-miele-orland-park-2,Café Miele,https://www.yelp.com/biz/caf%C3%A9-miele-orland-park-2,4.0,"[Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['11315 W 159th St'],US,Orland Park,IL,60467,120,True,"I was on a business trip and looked for a breakfast place close by. I am SO GLAD to have found this place.

Ordered the Chicken Friend Steak breakfast...",435
al-bawadi-grill-bridgeview-2,Al Bawadi Grill,https://www.yelp.com/biz/al-bawadi-grill-bridgeview-2,4.0,"[Category(name='Mediterranean', alias='mediterranean'), Category(name='Middle Eastern', alias='mideastern'), Category(name='Arabian', alias='arabian')]",['7216 W 87th St'],US,Bridgeview,IL,60455,380,True,"Super flavorful! We tried the kufta kebab sandwich and falafel sandwich. It's not so much a sandwich as a tightly-wrapped burrito in a thin,...",435
stoney-point-grill-mokena,Stoney Point Grill,https://www.yelp.com/biz/stoney-point-grill-mokena,3.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Seafood', alias='seafood'), Category(name='Burgers', alias='burgers')]",['19031 Old LaGrange Rd'],US,Mokena,IL,60448,70,True,"Went there for a little gathering of friends. First time here and won't be the last time, Great staff, Great atmosphere, Great food....
Nuff said!!!!",435
la-adelita-mexican-restaurant-plainfield,La Adelita Mexican Restaurant,https://www.yelp.com/biz/la-adelita-mexican-restaurant-plainfield,4.0,"[Category(name='Mexican', alias='mexican'), Category(name='Bars', alias='bars')]",['15732 S Rt 59'],US,Plainfield,IL,60544,68,False,Been awhile since I was here. Tiring of El Molcajete. They are using lower quality of food and it shows. So came here for takeout today knowing I was gonna...,435
wendys-joliet-2,Wendy's,https://www.yelp.com/biz/wendys-joliet-2,2.5,"[Category(name='Fast Food', alias='hotdogs'), Category(name='Burgers', alias='burgers')]",['104 N Center St'],US,Joliet,IL,60435,5,False,"It's Wendy's, nothing too special the burgers are good but the fries can be better.",435
rbk-american-grill-downers-grove,RBK American Grill,https://www.yelp.com/biz/rbk-american-grill-downers-grove,3.5,"[Category(name='American (New)', alias='newamerican')]",['994 Warren Ave'],US,Downers Grove,IL,60515,50,True,We came here to celebrate our anniversary and it was a delicious experience. RBK is a sleek and cozy spot right in the heart of Downers Grove. They feature...,435
pitaville-mediterranean-grill-naperville,Pitaville Mediterranean Grill,https://www.yelp.com/biz/pitaville-mediterranean-grill-naperville,4.0,"[Category(name='Middle Eastern', alias='mideastern'), Category(name='Mediterranean', alias='mediterranean')]",['1552 N Aurora Rd'],US,Naperville,IL,60563,127,True,"my husband and I have ordered food from this place for delivery several times, and we have ways enjoyed the meals. I think the best things on the menu are...",435
tasty-waffle-romeoville,Tasty Waffle,https://www.yelp.com/biz/tasty-waffle-romeoville,4.0,"[Category(name='Breakfast & Brunch', alias='breakfast_brunch')]","['638 S Weber Rd', 'Ste 642']",US,Romeoville,IL,60446,124,True,Absolutely wonderful place to eat in Romeoville! The entire staff is very pleasant to deal with as well as very accommodating for special requests. The...,435
just-shrimp-alsip,Just Shrimp,https://www.yelp.com/biz/just-shrimp-alsip,4.5,"[Category(name='Seafood', alias='seafood')]",['5438 W 127 St'],US,Alsip,IL,60803,24,False,"Love this place!!! The staff is so friendly, great value for your money, and quick service.  It's really best for takeout.  The shrimp are huge, and the po...",435
buchos-bolingbrook,Bucho's,https://www.yelp.com/biz/buchos-bolingbrook,3.5,"[Category(name='Mexican', alias='mexican')]",['235 S Bolingbrook Dr'],US,Bolingbrook,IL,60440,79,False,"Here I was driving around the neighborhood looking at houses and I see a sign that says Famous Margaritas...I can't help but check it out, I have time to...",436
jamesons-charhouse-woodridge,Jameson's Charhouse,https://www.yelp.com/biz/jamesons-charhouse-woodridge,3.5,"[Category(name='Steakhouses', alias='steak')]",['1001 W 75th St'],US,Woodridge,IL,60517,125,False,"Great place to eat, never had a bad steak here.  Always excellent...now why the 4 stars.  You get a lot of food here, bread to start, soup, salad, and with...",438
jackson-ave-pub-naperville,Jackson Ave Pub,https://www.yelp.com/biz/jackson-ave-pub-naperville,4.0,"[Category(name='Burgers', alias='burgers'), Category(name='Pubs', alias='pubs')]",['7 W Jackson Ave'],US,Naperville,IL,60540,156,True,"Creative and original burgers. Try the fried pickle burger, it's delicious. 

Extensive, local and always updated beers on tap and great appetizers.",439
dell-rheas-chicken-basket-willowbrook,Dell Rhea's Chicken Basket,https://www.yelp.com/biz/dell-rheas-chicken-basket-willowbrook,3.5,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Chicken Wings', alias='chicken_wings')]",['645 Joliet Rd'],US,Willowbrook,IL,60527,347,True,"I think their slogan should be ""come for the biscuits, stay for the chicken.""

One of the original highways across America, Route 66 ran from downtown...",440
square-celt-ale-house-and-grill-orland-park,Square Celt Ale House & Grill,https://www.yelp.com/biz/square-celt-ale-house-and-grill-orland-park,3.5,"[Category(name='Irish', alias='irish'), Category(name='American (Traditional)', alias='tradamerican')]",['39 Orland Square Dr'],US,Orland Park,IL,60642,100,True,I stopped in one afternoon with a friend for a quick bite. We sat ourselves and were waited on by the gentleman pulling double duty as a server/bartender....,441
heaven-on-seven-naperville,Heaven on Seven,https://www.yelp.com/biz/heaven-on-seven-naperville,3.5,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['224 S Main St'],US,Naperville,IL,60540,517,True,"When it comes to spicy food, this place delivers! When I first stepped foot into Heaven on Seven, I noticed the shelves on one side of the restaurant that...",442
el-burrito-mexicano-lisle,El Burrito Mexicano,https://www.yelp.com/biz/el-burrito-mexicano-lisle,4.5,"[Category(name='Mexican', alias='mexican')]",['1219 Maple Ave'],US,Lisle,IL,60532,224,False,"So I read about this place on yelp. And as other reviews mention. This place is economical and amazing. 

Food:

I tried the Chorizo Tacos, pechuga a la...",445
riverview-diner-montgomery,Riverview Diner,https://www.yelp.com/biz/riverview-diner-montgomery,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Diners', alias='diners'), Category(name='Italian', alias='italian')]",['1420 SE River Rd'],US,Montgomery,IL,60538,105,True,Over all this place is pretty good. I had The meat lover skillet. Place charges $10 for a skillet so that's about standard. Service was really good and food...,445
b-and-v-italian-pizza-lockport,B & V Italian Pizza,https://www.yelp.com/biz/b-and-v-italian-pizza-lockport,4.0,"[Category(name='Pizza', alias='pizza')]",['14508 Archer Ave'],US,Lockport,IL,60441,17,False,I grew up eating this pizza. By far the pizza you can get in the Chicagoland area. Every time I come back to visit my family living out here its the first...,445
white-fence-farm-romeoville,White Fence Farm,https://www.yelp.com/biz/white-fence-farm-romeoville,3.5,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Diners', alias='diners'), Category(name='Steakhouses', alias='steak')]",['1376 Joliet Rd'],US,Romeoville,IL,60446,175,False,I think its a tad overrated. They make chicken and sides. I dont know why this is a must go to place for the family every year but i can roll with it since...,446
dragon-inn-minooka,Dragon Inn,https://www.yelp.com/biz/dragon-inn-minooka,4.0,"[Category(name='Chinese', alias='chinese')]",['2011 Ridge Rd.'],US,Minooka,IL,60447,33,False,I think this place is the most quality Chinese food experience available in the area by far.  I must have had a dozen different entrees.  Hard to go wrong...,450
letty-maes-tea-room-and-fancy-junk-morris,Letty Mae's Tea Room & Fancy Junk,https://www.yelp.com/biz/letty-maes-tea-room-and-fancy-junk-morris,4.5,"[Category(name='Tea Rooms', alias='tea'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Cafes', alias='cafes')]",['112 E Washington St'],US,Morris,IL,60450,25,True,"What a cute cafe!
The decor is something worth seeing. Vintage/ antique/ country tea room. Cute glass tea cups at every table & glass mason jars. Perfect...",453
oh-my-pita-addison,Oh My Pita,https://www.yelp.com/biz/oh-my-pita-addison,4.5,"[Category(name='Mediterranean', alias='mediterranean'), Category(name='Greek', alias='greek')]",['401 S Irmen'],US,Addison,IL,60101,17,True,"Excellent food and service. 

Staff was friendly and the food was fresh...unlike a lot of places similar to this type of food. The atmosphere is bright and...",455
draft-picks-naperville,Draft Picks,https://www.yelp.com/biz/draft-picks-naperville,4.0,"[Category(name='Sports Bars', alias='sportsbars'), Category(name='Burgers', alias='burgers'), Category(name='Pizza', alias='pizza')]",['523 Fairway Dr.'],US,Naperville,IL,60563,69,False,"I have never heard of this place but was in the area and decided to give it a try.
Very inviting setup, with some half indoor/ half outdoor seating. The bar...",456
